program,NO,ID,label,event_id,event_type,event_handler,in,out,validation,status,description,trans_id,etc
JOB1001MU01,2,ibx_searchValue,Default 검색어,JOB1001MU01_IBX02,Enter,onJobNameEnter,,Job Name,,,"검색키워드. 필터를 열어 설정하지않은 경우, 이 필드를 Job Name으로 사용",,
JOB1001MU01,3,btn_searchFilter,검색필터 이미지,JOB1001MU01_BTN03,Click,onSearchFilterClick,,,,,검색필터 레이어,,
JOB1001MU01,4,sbx_searchType,검색 조건 타입,JOB1001MU01_SBX04,Changed,onSearchTypeChanged,,,,,,,
JOB1001MU01,5,ibx_jobName,필터 - Job Name,JOB1001MU01_IBX05,,,,,,,,,
JOB1001MU01,6,sbx_status,필터 - 상태,JOB1001MU01_SBX06,,,,,,,,,
JOB1001MU01,7,ibx_scheduled,필터 - 스케쥴 시간,JOB1001MU01_IBX07,,onScheduledClick,,,,,,,
JOB1001MU01,8,btn_scheduled,필터 - 스케쥴 시간,JOB1001MU01_BTN08,,onScheduledClick,,,,,,,
JOB1001MU01,9,ibx_executeTime,필터 - 실행 시간,JOB1001MU01_IBX09,,onExecuteTimeClick,,,,,,,
JOB1001MU01,10,btn_executeTime,필터 - 실행 시간,JOB1001MU01_BTN10,,onExecuteTimeClick,,,,,,,
JOB1001MU01,11,ibx_user,필터 - 사용자,JOB1001MU01_IBX11,,,,,,,,,
JOB1001MU01,12,btn_remove,삭제,JOB1001MU01_BTN12,Click,onRemoveButtonClick,,Job IDs,,,SW Provisioning Job 삭제,,
JOB1001MU01,13,btn_register,등록,JOB1001MU01_BTN13,Click,onRegisterButtonClick,,,,,SW Provisioning Job 등록,PRV1001FU04,
JOB1001MU01,14,grd_jobList,Job 목록,JOB1001MU01_GRD14,,,,,,,,,
JOB1001MU01,15,grd_jobList,Row 클릭,JOB1001MU01_GRD15,Click,onRowClick,,Job ID,,,그리드 Row 선택,PRV1001FU07,
JOB1001MU01,16,grd_jobList,전체체크,JOB1001MU01_GRD16,Checked,onGridAllChecked,all check 값,all check 값,,,,,
JOB1001MU01,17,grd_jobList,단건 체크,JOB1001MU01_GRD17,Checked,onRowChecked,row check 값,row check 값,,,,,
JOB1001MU01,18,grd_jobList,프로세스이미지,JOB1001MU01_GRD18,,,job 실행 상태값,,,,프로세스,,
JOB1001MU01,19,lbl_status,상태,JOB1001MU01_LBL19,,,status,,,,,,
JOB1001MU01,20,lbl_jobScheduled,sw provisioning 예정 여부,JOB1001MU01_LBL20,,,schedule,,,,,,
JOB1001MU01,21,lbl_description,설명,JOB1001MU01_LBL21,,,description,,,,,,
JOB1001MU01,22,lbl_user,사용자,JOB1001MU01_LBL22,,,,,,,,,
JOB1001MU01,23,lbl_executeTime,실행 시간,JOB1001MU01_LBL23,,,,,,,,,
JOB1001MU01,24,grd_targetHost,Targeted Host List,JOB1001MU01_GRD24,,,실행 대상 목록,,,,,,
JOB1001MU01,25,grd_targetHost,Targeted Host List,JOB1001MU01_GRD25,Click,onRowClick,,,,,Fail 상태 클릭시 실패정보팝업호출,JOB1001PU11,
JOB1001FU07,1,ini,화면초기화,JOB1001FU07_INI01,Load,onViewLoad,,jobID,필수,,,,
JOB1001FU07,2,lbl_jobName,Job Name,JOB1001FU07_LBL02,,,Job Name,,,,Job 명,,
JOB1001FU07,3,img_status,Status,JOB1001FU07_IMG03,,,Status,,,,"상태(ready, scheduled,running.fail)",,
JOB1001FU07,4,lbl_jobScheduled,Job Scheduled,JOB1001FU07_LBL04,,,Job Scheduled,,,,Job 예약,,
JOB1001FU07,5,lbl_desc,Description,JOB1001FU07_LBL05,,,Description,,,,설명,,
JOB1001FU07,6,lbl_operator,Operator,JOB1001FU07_LBL06,,,Operator,,,,,,
JOB1001FU07,7,lbl_executeTime,Execute Time,JOB1001FU07_LBL07,,,Execute Time,,,,실행시간,,
JOB1001FU07,8,grd_targetHost,Targeted Host List,JOB1001FU07_GRD08,,,실행 대상 목록,,,,,,
JOB1001FU07,9,grd_targetHost,Targeted Host List,JOB1001FU07_GRD09,Click,onRowClick,,,,,Fail 상태 클릭시 실패정보팝업호출,JOB1001PU11,
JOB1001FU07,10,btn_abort,Abort,JOB1001FU07_BTN10,Click,onAbortButtonClick,,jobID,,,중단,,
JOB1001FU07,11,btn_delete,삭제,JOB1001FU07_BTN11,Click,onDeleteButtonClick,,jobID,,,다운로드,,
JOB1001FU07,12,btn_execute,실행,JOB1001FU07_BTN12,Click,onExecuteButtonClick,,jobID,,,,PRV1001PU09,
JOB1001FU07,13,btn_modify,수정,JOB1001FU07_BTN13,Click,onModifyButtonClick,,jobID,,,,PRV1001FU08,
JOB1001FU04,1,ini,화면초기화,JOB1001FU04_INI01,Load,onViewLoad,,,,,,,
JOB1001FU04,2,ibx_jobName,Job Name,JOB1001FU04_IBX02,,,,,,,,,
JOB1001FU04,3,rad_jobScheduled,Job Scheduled,JOB1001FU04_RAD03,Changed,onScheduledChanged,,Job Scheduled,필수,,,,
JOB1001FU04,4,ibx_jobScheduled,Job Scheduled,JOB1001FU04_IBX04,Click,onScheduledClick,,Job Scheduled,,,,,
JOB1001FU04,5,btn_jobScheduled,Job Scheduled,JOB1001FU04_BTN05,Click,onScheduledClick,,,,,,,
JOB1001FU04,6,sbx_hour,Job Schedule 시간,JOB1001FU04_SBX06,Changed,onTimeIndexChanged,,,,,,,
JOB1001FU04,7,sbx_minute,Job Schedule 분,JOB1001FU04_SBX07,Changed,onMinuteIndexChanged,,,,,,,
JOB1001FU04,8,txa_desc,Description,JOB1001FU04_TXA08,,,,,,,,,
JOB1001FU04,10,ibx_hostName,Host Name,JOB1001FU04_IBX10,Enter,onHostNameEnter,,,,,호스트 검색 키워드,,
JOB1001FU04,11,grd_searchedHostList,검색된 호스트 목록,JOB1001FU04_GRD11,,,,,,,,,
JOB1001FU04,12,grd_searchedHostList,검색된 호스트 전체 선택,JOB1001FU04_GRD12,Checked,onAllSearchedHostChecked,,,,,,,
JOB1001FU04,13,grd_searchedHostList,검색된 호스트 개별 선택,JOB1001FU04_GRD13,Checked,onSearchedHostChecked,,,,,,,
JOB1001FU04,14,btn_addSearchedHost,선택한 호스트를 타겟 호스트로 이동,JOB1001FU04_BTN14,Click,onAddHostClick,,,,,,,
JOB1001FU04,15,btn_removeSearchedHost,선택한 호스트를 타겟 호스트에서 제거,JOB1001FU04_BTN15,Click,onRemoveHostClick,,,,,,,
JOB1001FU04,16,grd_targetHostList,타겟 호스트 목록,JOB1001FU04_GRD16,,,,,,,,,
JOB1001FU04,17,grd_targetHostList,타겟 호스트 전체 선택,JOB1001FU04_GRD17,Checked,onAllTargetHostChecked,,,,,,,
JOB1001FU04,18,grd_targetHostList,타겟 호스트 개별 선택,JOB1001FU04_GRD18,Checked,onTargetHostChecked,,,,,,,
JOB1001FU04,19,btn_nextStep,다음 단계로 이동,JOB1001FU04_BTN19,Click,onNextStepClick,,,,,,,
JOB1001FU04,20,btn_applyOsAll,OS 일괄적용,JOB1001FU04_BTN20,,onApplyOsAll,,,,,,PRV1001PU11,
JOB1001FU04,21,btn_applyOs,SW 일괄적용,JOB1001FU04_BTN21,,onApplySwAll,,,,,,PRV1001PQ05,
JOB1001FU04,22,btn_initAll,전체 초기화,JOB1001FU04_BTN22,,onInitializeAll,,,,,,,
JOB1001FU04,23,grd_software,소프트웨어 목록,JOB1001FU04_GRD23,,,,,,,설치할 소프트웨어 선택 그리드,,
JOB1001FU04,24,grd_software,소프트웨어 전체 선택,JOB1001FU04_GRD24,Checked,onAllSoftwareChecked,,,,,,,
JOB1001FU04,25,grd_software,소프트웨어 개별 선택,JOB1001FU04_GRD25,Checked,onSoftwareChecked,,,,,,,
JOB1001FU04,26,grd_software,OS,JOB1001FU04_GRD26,Changed,onOsChanged,,,,,,,
JOB1001FU04,27,grd_software,Software,JOB1001FU04_GRD27,Changed,onSoftwareChanged,,,,,,,
JOB1001FU04,28,grd_software,Software version,JOB1001FU04_GRD28,Changed,onSoftwareVersionChanged,,,,,,,
JOB1001FU04,29,grd_software,소프트웨어 추가,JOB1001FU04_GRD29,Click,onAddSoftwareClick,,,,,,,
JOB1001FU04,30,grd_software,소프트웨어 제거,JOB1001FU04_GRD30,Click,onRemoveSoftwareClick,,,,,,,
JOB1001FU04,31,grd_software,소프트웨어 속성 선택 팝업,JOB1001FU04_GRD31,Click,onSetAttributeClick,,,,,,PRV1001PU06,
JOB1001FU04,32,btn_previous,이전 단계로 이동,JOB1001FU04_BTN32,Click,onPreviousStepClick,,,,,,,
JOB1001FU04,33,lbl_jobName,Job 이름,JOB1001FU04_LBL33,,,,,,,,,
