L2,L2_code,L3,L3_code,program,dto,dto_name,property,property_name,property_hname,type,length,point,array_length,default,order,fill,format_type,format
,,,,usermng,User,,userId,,,Long,,,,,,,,
,,,,,,,userUuid,,,String,,,,,,,,
,,,,,,,defaultDatacenter,,,Long,,,,,,,,
,,,,,,,type,,,String,,,,,,,,
,,,,,,,userType,,,String,,,,,,,,
,,,,,,,signId,,,String,,,,,,,,
,,,,,,,name,,,String,,,,,,,,
,,,,,,,realName,,,String,,,,,,,,
,,,,,,,password,,,String,,,,,,,,
,,,,,,,department,,,String,,,,,,,,
,,,,,,,organization,,,String,,,,,,,,
,,,,,,,address,,,String,,,,,,,,
,,,,,,,phone1,,,String,,,,,,,,
,,,,,,,phone2,,,String,,,,,,,,
,,,,,,,email,,,String,,,,,,,,
,,,,,,,enabled,,,String,,,,,,,,
,,,,,,,token,,,String,,,,,,,,
,,,,,,,expires,,,Date,,,,,,,,
,,,,,,,roleId,,,Long,,,,,,,,
,,,,,,,roleName,,,String,,,,,,,,
,,,,,,,lastLoginAt,,,Date,,,,,,,,
,,,,,Role,,roleId,,,Long,,,,,,,,
,,,,,,,roleName,,,String,,,,,,,,
,,,,,,,roleType,,,String,,,,,,,,
,,,,,,,desc,,,String,,,,,,,,
,,,,,,,menuList,,,List<Menu>,,,,,,,,
,,,,,Menu,,menuId,,,Long,,,,,,,,
,,,,,,,superMenuId,,,Long,,,,,,,,
,,,,,,,rorder,,,int,,,,,,,,
,,,,,,,menuName,,,String,,,,,,,,
,,,,,,,url,,,String,,,,,,,,
,,,,,,,depth,,,int,,,,,,,,
,,,,,,,checked,,,String,,,,,,,,
,,,,,UserRole,,datacenterList,,,List<UserDataCenter>,,,,,,,,
,,,,,,,cloudInfraList,,,List<UserDataCenter>,,,,,,,,
,,,,,UserDataCenter,,userId,,,Long,,,,,,,,
,,,,,,,datacenterId,,,Long,,,,,,,,
,,,,,,,datacenterName,,,String,,,,,,,,
,,,,,,,virtualDatacenterId,,,Long,,,,,,,,
,,,,,,,defaultDatacenterYn,,,String,,,,,,,,
,,,,,,,accessYn,,,String,,,,,,,,
,,,,,,,menuList,,,List<Menu>,,,,,,,,
,,,,,Menu,,menuId,,,Long,,,,,,,,
,,,,,,,superMenuId,,,Long,,,,,,,,
,,,,,,,rorder,,,int,,,,,,,,
,,,,,,,menuName,,,String,,,,,,,,
,,,,,,,url,,,String,,,,,,,,
,,,,,,,depth,,,int,,,,,,,,
,,,,,,,checked,,,String,,,,,,,,
