level2,code2,level3,code3,level4,code4,URL,ID,Name,Description,CRUD
Dashboard,DSB,,DSB01,,1,dashboard/,DSB0101MQ01,Dashboard(Main),"멀티데이터센터 및 resource, vm 사용량, alarm 표시",R
Resources,RSC,Hardware,RSC01,,1,resources/hw/overview,RSC0101MU01,Hardware Overview,,R
Resources,RSC,Hardware,RSC01,,,resources/hw/searchDetail,RSC0101PQ02,Hardware 검색,검색 필터링,
Resources,RSC,Hardware,RSC01,,10,resources/hw/upload,RSC0110FU01,Hardware Batch Import,"Excel upload 로 여러건 등록 가능, Excel sample download 가능",C
Resources,RSC,Hardware,RSC01,,,resources/hw/upload/errRecent,RSC0110PQ02,Error Message,batch upload 실패 시 Error Message 조회 팝업,R
Resources,RSC,Hardware,RSC01,,,resources/hw/add,RSC0110FU03,Hardware 등록,"하드웨어 타입별 (Server, Rack, Storage, Switch, Chassis, Temperature & Humidity) 일반정보, 스팩정보, 담당자정보 등록 가능",C
Resources,RSC,Hardware,RSC01,,,resources/hw/dc/*datacenter-id*/floorPlan,RSC0110PQ04,상면도,상면도 선택 팝업,R
Resources,RSC,Hardware,RSC01,,,resources/hw/dc/*datacenter-id*/floor/*no*/room/*no*/floorPlan,RSC0110PQ05,실장도,,
Resources,RSC,Hardware,RSC01,,20,resources/hw/dc/*datacenter-id*/floor/*no*,RSC0120FQ01,층정보(? 층),하드웨어 층상세 조회,R
Resources,RSC,Hardware,RSC01,,,resources/hw/info/dc/*datacenter-id*/floor/*no*/room/*no*,RSC0120FQ02,룸정보(Room#?),하드웨어 Room상세 조회,R
Resources,RSC,Hardware,RSC01,,,resources/hw/info/dc/*datacenter-id*/floor/*no*/room/*no*/hardware/*key*,RSC0120FQ04,하드웨어정보(H/W Name)),"하드웨어 Type(Rack,Server, Storage,Switch, Chassis, Temperature & Humidity)상세 조회(Tab:Spec, Software,Services,History)",
Resources,RSC,Hardware,RSC01,,,resources/hw/searchSoftware,RSC0120PQ05,Software,수동설치 소프트웨어 조회 팝업,R
Resources,RSC,Hardware,RSC01,,,resources/hw/edit/dc/*datacenter-id*/floor/*no*/room/*no*/hardware/*key*,RSC0130FU02,하드웨어정보(H/W Name)),"하드웨어 일반정보, 스팩정보, 담당자정보 수정가능(Racj,Server,Storage,Switch등)",
Resources,RSC,Hardware,RSC01,,,resources/hw/dc/*datacenter-id*/floorPlanEdit,RSC0130PQ02,상면 설정,상면도 선택 팝업,R
Resources,RSC,Cloud Infra,RSC10,Openstack,1,resources/ci/overview,RSC1001MU01,CloudInfra Overview,,R
Resources,RSC,Cloud Infra,RSC10,,,resources/ci/op/project/*project-id*,RSC1001FU03,프로젝트 Overview,,R
Resources,RSC,Cloud Infra,RSC10,,,resources/ci/op/project/*project-id*/instances,RSC1001FU04,인스턴스목록,,R
Resources,RSC,Cloud Infra,RSC10,,,resources/ci/op/project/*project-id*/instances/*instance-id*,RSC1001FU05,인스턴스상세,,R
Resources,RSC,Cloud Infra,RSC10,,,resources/ci/op/project/*project-id*/log,RSC1001PQ10,로그팝업,,R
Resources,RSC,Cloud Infra,RSC10,,,resources/ci/op/project/*project-id*/volume,RSC1001FU06,볼륨상세,,R
Resources,RSC,Cloud Infra,RSC10,,,resources/ci/op/project/*project-id*/img,RSC1001FU07,이미지목록,,R
Resources,RSC,Cloud Infra,RSC10,,,resources/ci/op/project/*project-id*/img/*img-id*,RSC1001FU08,이미지상세,,R
Resources,RSC,Cloud Infra,RSC10,,,resources/ci/op/project/*project-id*/auth,RSC1001FU09,접근 및 권한,,R
